trial_id,max_num_of_clusters,max_dissimilarity_distance,similarity_threshold,window_size,metric,similarity_vectors,embedding_distance_metric,distance_metric,number_of_permutations,ngrams,char_tokenization,num_of_comparisons,diffObjectsComparedSuccess,sameObjectsCompared,sameObjectsComparedSuccess,selection_variance,selectedNumOfPrototypes,averageBucketSize,prototypesTime,embeddingsTime,wtaTime,similarityTime,Accuracy,Precision,Recall,F1,Time
0,246,0.5093407874313632,0.4867672423003282,12,kendal,initial,euclid_jaccard,euclid_jaccard,3,2,True,143978,132806,401,399,,164,34,0.31599855422973633,1.3080005645751953,0.1490001678466797,134.41829705238342,97.30950316470891,3.381397238017872,96.80232558139535,6.53453689167975,136.65128755569458
1,122,0.4162544567414631,0.7285166356394606,39,kendal,initial,euclid_jaccard,euclid_jaccard,4,2,True,169470,166784,448,345,,103,68,0.0850067138671875,0.8420464992523193,0.15000319480895996,140.48042488098145,99.50178076659107,13.21243523316062,74.12790697674419,22.427440633245382,142.09946370124817
2,325,0.7809864393297649,0.5613324821416971,87,kendal,initial,euclid_jaccard,euclid_jaccard,4,2,True,130953,125602,361,356,,105,64,0.48935818672180176,0.864309549331665,0.17599821090698242,111.99338221549988,98.71434583306267,6.528925619834711,91.86046511627907,12.191358024691358,113.99848055839539
3,368,0.06802643861578728,0.701832713157123,91,kendal,initial,euclid_jaccard,euclid_jaccard,5,2,True,187625,184827,406,322,,234,98,0.7719988822937012,1.9351208209991455,0.37801194190979004,165.9863519668579,99.44924744606155,12.300469483568074,76.16279069767442,21.180274858528698,169.52347588539124
4,357,0.8702753918460807,0.46766769550795184,74,kendal,initial,euclid_jaccard,euclid_jaccard,2,2,True,148394,138223,362,358,,34,39,0.7156856060028076,0.3390007019042969,0.04099845886230469,110.22790765762329,97.50269021439809,3.4100877192982457,90.40697674418605,6.572273879966188,111.91296124458313
