trial_id,max_num_of_clusters,max_dissimilarity_distance,similarity_threshold,window_size,metric,similarity_vectors,embedding_distance_metric,distance_metric,number_of_permutations,ngrams,char_tokenization,num_of_comparisons,diffObjectsComparedSuccess,sameObjectsCompared,sameObjectsComparedSuccess,selection_variance,selectedNumOfPrototypes,averageBucketSize,prototypesTime,embeddingsTime,wtaTime,similarityTime,Accuracy,Precision,Recall,F1,Time
1,617,0.4885787223273741,0.619239373073492,93,kendal,initial,euclid_jaccard,euclid_jaccard,5,3,True,194714,165989,17888,17516,,122,177,2.8848729133605957,2.2158963680267334,0.19312357902526855,76.0288462638855,98.52709852709852,60.77362872967661,79.17830540037244,68.76579399575456,81.87460112571716
2,267,0.6380225697759575,0.5827576556643045,36,kendal,initial,euclid_jaccard,euclid_jaccard,1,3,True,101821,76450,12541,12470,,69,20,0.5016374588012695,1.1840710639953613,0.015624284744262695,38.62506651878357,97.9093379093379,49.28853754940711,72.56750465549348,58.70445344129555,40.85721707344055
0,130,0.600634812848608,0.6829005529252821,94,kendal,initial,euclid_jaccard,euclid_jaccard,4,3,True,133228,113807,13183,12653,,56,97,0.1118474006652832,1.0428178310394287,0.07255744934082031,40.50312280654907,98.68106201439535,66.44793459552496,71.89245810055866,69.06305903398928,42.24611186981201
1,597,0.6130173279491693,0.6341101057006568,88,kendal,initial,euclid_jaccard,euclid_jaccard,3,3,True,117649,98208,12462,12265,,82,84,2.565065383911133,1.4561388492584229,0.07812833786010742,43.87868523597717,98.58143858143859,63.72284021208026,71.33961824953445,67.31645708637637,48.527090549468994
2,700,0.32208546537620814,0.7433724210052972,92,kendal,initial,euclid_jaccard,euclid_jaccard,4,3,True,182350,157270,19310,17229,,231,132,3.4943222999572754,3.792940855026245,0.21990633010864258,83.64395785331726,99.03427236760571,75.6584152820165,77.90386405959032,76.76472274786398,91.71031308174133
3,840,0.6244314654532229,0.6802289604730034,13,kendal,initial,euclid_jaccard,euclid_jaccard,4,3,True,510868,482486,20541,18614,,91,38,5.239934921264648,1.555372714996338,0.0937497615814209,220.11229491233826,98.99733066399733,70.31409246733993,88.32635009310988,78.29765282434872,227.65620493888855
4,831,0.6839158495047548,0.5567515871246713,18,kendal,initial,euclid_jaccard,euclid_jaccard,6,3,True,515252,454571,22866,21840,,86,82,5.190837621688843,1.5045430660247803,0.13099956512451172,228.9856300354004,96.24314790981458,34.55724007235765,93.38337988826815,50.446400502986485,236.57192993164062
5,206,0.8880960460185671,0.5639556400554272,13,kendal,initial,euclid_jaccard,euclid_jaccard,5,3,True,438995,371437,20741,19699,,20,56,0.4689977169036865,0.7009143829345703,0.05341815948486328,286.6049807071686,95.14073597406932,28.47786028351973,90.83449720670392,43.36134453781513,288.6362187862396
6,453,0.28040453433837853,0.6150113624952027,55,kendal,initial,euclid_jaccard,euclid_jaccard,1,3,True,160606,139081,12688,12475,,216,32,1.7249443531036377,3.568209409713745,0.0625450611114502,57.341232776641846,98.38576671910005,58.5350975975976,72.59660148975792,64.8119285120532,63.44273567199707
7,881,0.39984237167600156,0.5483272045305896,84,kendal,initial,euclid_jaccard,euclid_jaccard,4,3,True,169996,130484,18438,18291,,197,131,7.054445266723633,3.814694404602051,0.20310449600219727,86.18965125083923,97.40907574240907,43.49823119936095,88.72788640595903,58.377364269852215,98.02485609054565
8,462,0.8654096104649159,0.5609314994764045,66,kendal,initial,euclid_jaccard,euclid_jaccard,7,3,True,153283,118991,13694,13651,,42,137,1.6776843070983887,0.8915607929229736,0.12399601936340332,62.21185064315796,97.1245054578388,39.859261854706844,79.44017690875232,53.08368331000156,65.4896137714386
9,340,0.8775569477751062,0.6881019675288879,12,kendal,initial,euclid_jaccard,euclid_jaccard,1,3,True,247507,222596,14528,13746,,31,9,0.9591732025146484,0.9321281909942627,0.018039464950561523,137.7730712890625,98.35299585299585,56.96879273902773,79.99301675977654,66.54563938711786,140.4266893863678
10,701,0.09909632552718545,0.45003272650975046,31,kendal,initial,euclid_jaccard,euclid_jaccard,2,3,True,145796,88000,15961,15960,,377,42,4.068785190582275,7.837456464767456,0.16315531730651855,84.284743309021,94.79920396587063,26.709856873756664,88.29143389199255,41.0126103234352,97.13275957107544
11,717,0.35561847490936044,0.7489897529422814,43,kendal,initial,euclid_jaccard,euclid_jaccard,5,3,True,365517,336675,22576,19639,,210,121,6.821744918823242,6.549890756607056,0.35396409034729004,156.58641004562378,99.08301158301158,75.96738000109463,80.77281191806331,78.2964320970244,171.01466608047485
12,732,0.4551831537837491,0.742952306405741,36,kendal,initial,euclid_jaccard,euclid_jaccard,6,3,True,440747,411057,23383,20237,,138,117,5.163164138793945,2.442476272583008,0.2050023078918457,181.52436900138855,99.08229658229658,75.60066951028563,81.48277467411546,78.43159221397563,190.00244617462158
13,786,0.48174629886640846,0.6919248810877383,31,kendal,initial,euclid_jaccard,euclid_jaccard,7,3,True,466980,435397,23253,21462,,127,137,7.2429375648498535,4.064303159713745,0.3450026512145996,209.54782462120056,98.99077649077648,70.72927072927074,86.52234636871509,77.83274440518258,221.9501519203186
14,579,0.7264519476511544,0.6515163552527686,29,kendal,initial,euclid_jaccard,euclid_jaccard,6,3,True,431896,399427,22236,20735,,71,110,3.2766709327697754,1.3752820491790771,0.13297510147094727,176.36548399925232,98.82382382382382,65.90691605045672,88.17504655493482,75.43187135958581,181.90872836112976
15,887,0.5090332190864951,0.7232976594955902,48,kendal,initial,euclid_jaccard,euclid_jaccard,3,3,True,243818,217871,19817,17645,,122,71,7.685291528701782,2.386430263519287,0.10300946235656738,104.58921146392822,99.02247485580818,74.35591473667083,79.77770018621973,76.97144942590046,115.36439919471741
16,630,0.18495091664286256,0.7168081068792581,7,kendal,initial,euclid_jaccard,euclid_jaccard,5,3,True,540203,509066,23242,20859,,332,33,3.0502231121063232,6.305789947509766,0.35062551498413086,316.9665017127991,99.05250488583822,72.12344850721234,87.58147113594042,79.10435993797797,327.30026507377625
17,582,0.16396132256335602,0.7189199265929762,5,kendal,initial,euclid_jaccard,euclid_jaccard,6,3,True,714453,684424,22381,20498,,325,30,2.802114248275757,7.201144218444824,0.45896005630493164,403.2744164466858,99.06179989513323,72.41561943280851,87.52327746741155,79.25592179801333,414.31190371513367
18,572,0.12626322641858861,0.4673081698634787,5,kendal,initial,euclid_jaccard,euclid_jaccard,5,3,True,690779,578359,23162,22181,,326,25,2.723325490951538,8.359143018722534,0.3880465030670166,369.35565423965454,90.81343248009914,17.624678440952028,94.89059590316573,29.727808061840257,381.46483087539673
19,352,0.2138407947407119,0.5022633999168677,23,kendal,initial,euclid_jaccard,euclid_jaccard,7,3,True,430111,343938,22284,22063,,218,117,0.8852052688598633,4.015784502029419,0.3319685459136963,181.8553249835968,93.29102912436245,22.67169705861804,94.41922718808193,36.56379226808189,187.81618094444275
