trial_id,max_num_of_clusters,max_dissimilarity_distance,similarity_threshold,window_size,metric,similarity_vectors,embedding_distance_metric,distance_metric,number_of_permutations,ngramms,char_tokenization,num_of_comparisons,diffObjectsComparedSuccess,sameObjectsCompared,sameObjectsComparedSuccess,selection_variance,selectedNumOfPrototypes,averageBucketSize,prototypesTime,embeddingsTime,wtaTime,similarityTime,Accuracy,Precision,Recall,F1,Time
0,752,0.3169897476515169,0.6852594023869281,100,kendal,initial,euclid_jaccard,euclid_jaccard,2,2,True,275510,258770,14307,10224,,406,51,15.264732360839844,28.36459493637085,0.3100004196166992,152.17616987228394,98.86302969636303,80.71698416526003,58.43808193668529,67.79409282700422,197.0275011062622
1,881,0.5773782835953546,0.7069752292698235,79,kendal,initial,euclid_jaccard,euclid_jaccard,2,2,True,528110,506114,15785,11017,,146,38,6.039393424987793,4.733893871307373,0.11200261116027832,210.6971836090088,98.5387768721102,64.90070234923711,62.37779329608939,63.614243323442146,222.27952766418457
2,366,0.17426948386086308,0.7451697292539596,39,kendal,initial,euclid_jaccard,euclid_jaccard,4,2,True,490679,472551,16104,9152,,284,78,2.1279993057250977,9.695057153701782,0.3299999237060547,247.49271869659424,98.77055627055627,82.32137814176787,50.89036312849162,62.897831481281685,260.3567759990692
3,776,0.7404692489622082,0.7030419510798191,48,kendal,initial,euclid_jaccard,euclid_jaccard,2,2,True,342869,283946,12928,10621,,22,22,3.744027614593506,0.6500029563903809,0.03000044822692871,234.64157915115356,93.7368320701654,18.75971456831991,61.80749534450651,28.78319783197832,239.81960725784302
4,591,0.24936307379250808,0.742909085457514,73,kendal,initial,euclid_jaccard,euclid_jaccard,2,2,True,363202,347909,14318,8201,,407,41,4.769001245498657,13.544604063034058,0.27199625968933105,171.60584950447083,98.78521378521378,89.33153274814315,46.19413407821229,60.897583429228995,190.93348622322083
5,379,0.7879135902785238,0.6743199366382544,44,kendal,initial,euclid_jaccard,euclid_jaccard,3,2,True,461483,211326,14548,9591,,4,12,1.9310388565063477,0.20896077156066895,0.02503824234008789,272.70480155944824,71.01839935173268,3.9115008156606854,55.81354748603352,7.310659186535765,275.6428701877594
6,804,0.635374838852772,0.7132470350758172,33,kendal,initial,euclid_jaccard,euclid_jaccard,1,2,True,167912,154800,8506,6832,,99,17,4.7329182624816895,3.089083194732666,0.035999298095703125,63.3523371219635,98.21750321750322,59.73072215422277,39.757914338919925,47.73950108308294,71.94134783744812
7,221,0.43890781025502745,0.683209488740805,73,kendal,initial,euclid_jaccard,euclid_jaccard,5,2,True,179670,165836,11406,8816,,84,116,0.591968297958374,2.8859355449676514,0.16803359985351562,98.96377205848694,98.70906620906621,79.80290943219146,49.48207635009311,61.08696433061533,103.30474424362183
8,242,0.4837990151728301,0.5620115316112545,91,kendal,initial,euclid_jaccard,euclid_jaccard,5,2,True,157564,108516,10671,10082,,71,125,0.7710013389587402,2.2493419647216797,0.15500354766845703,72.8036322593689,94.58041374708041,20.805216781196474,58.67085661080075,30.717669820087444,76.78001141548157
9,838,0.2842395776243463,0.6360873571794712,56,kendal,initial,euclid_jaccard,euclid_jaccard,3,2,True,561895,535678,16118,12251,,491,71,9.410014867782593,16.580546855926514,0.40900111198425293,260.56464672088623,98.19402736069402,54.696976711884815,68.75,60.92360054663126,287.71131682395935
10,613,0.11083105191319387,0.6074920227817793,54,kendal,initial,euclid_jaccard,euclid_jaccard,4,2,True,488690,454366,15891,12446,,502,86,4.8378236293792725,15.563597440719604,0.553997278213501,259.1979191303253,97.336145669479,41.05783866057839,69.07006517690876,51.501345135815335,280.9273748397827
11,600,0.10824378046436414,0.6115478189079717,58,kendal,initial,euclid_jaccard,euclid_jaccard,4,2,True,557914,520386,17043,12925,,493,89,5.1209447383880615,15.796607255935669,0.5300016403198242,289.47596192359924,97.24903474903475,40.24789291026277,70.86243016759776,51.33750711439955,311.67151737213135
12,602,0.13183526678699703,0.6067456241039637,59,kendal,initial,euclid_jaccard,euclid_jaccard,4,2,True,408461,373253,16052,12682,,484,93,4.565186977386475,15.545005559921265,0.5429975986480713,224.93530583381653,97.31195481195482,40.9906435494148,71.13012104283054,52.009446205561346,246.37549424171448
