trial_id,max_num_of_clusters,max_dissimilarity_distance,similarity_threshold,window_size,metric,similarity_vectors,embedding_distance_metric,distance_metric,number_of_permutations,ngramms,char_tokenization,num_of_comparisons,diffObjectsComparedSuccess,sameObjectsCompared,sameObjectsComparedSuccess,selection_variance,selectedNumOfPrototypes,averageBucketSize,prototypesTime,embeddingsTime,wtaTime,similarityTime,Accuracy,Precision,Recall,F1,Time
0,597,0.35842490220151646,0.5909620186767734,41,kendal,initial,jaccard,jaccard,5,2,False,825493,775615,17277,8032,,387,43,1.849292516708374,4.707832098007202,0.8509640693664551,656.2596714496613,95.5553172219839,21.91252862648718,45.65875232774674,29.61313455368938,665.0425925254822
1,611,0.22524670939154687,0.6580724735508472,73,kendal,initial,jaccard,jaccard,3,2,False,526551,494818,13789,6408,,479,30,2.2133290767669678,6.225854873657227,0.641737699508667,442.6832129955292,96.94527861194527,29.804015296367115,36.28375232774674,32.7262229687172,453.2180919647217
2,554,0.5937967165346847,0.6056902207774484,91,kendal,initial,jaccard,jaccard,2,2,False,544743,503702,15149,7026,,190,19,1.8485167026519775,2.4491405487060547,0.2042236328125,402.5777976512909,96.05367272033939,23.259483048002686,40.32239292364991,29.5014263209435,408.6333632469177
3,766,0.29927179567352846,0.7331210969479379,49,kendal,initial,jaccard,jaccard,4,2,False,677134,651931,16061,5004,,534,37,3.521867513656616,7.073904514312744,0.9608373641967773,583.1960446834564,97.88145288145287,47.085949764521196,27.927141527001865,35.05990648743425,596.1620399951935
4,586,0.8526686927711261,0.5954022049018799,98,kendal,initial,jaccard,jaccard,5,2,False,853737,800388,17289,7376,,46,28,2.068523406982422,1.0866880416870117,0.28149986267089844,667.8710625171661,94.84186567519902,17.837691302954877,42.12057728119181,25.06189297276709,672.7005560398102
5,464,0.6510191129881979,0.7345614677748525,42,kendal,initial,jaccard,jaccard,5,2,False,827895,800515,17171,4939,,121,32,1.446969985961914,1.736788272857666,0.3312351703643799,661.5593030452728,97.63561180227846,39.377948348924605,28.660381750465547,33.17503620625778,666.4895114898682
6,547,0.718948429464047,0.6980382191256318,32,kendal,initial,jaccard,jaccard,5,2,False,805683,773649,16726,5706,,94,37,1.632246971130371,1.1484930515289307,0.24564552307128906,634.1589651107788,97.35306735306736,34.56532416502947,32.76303538175046,33.64005736137668,638.601407289505
7,492,0.5071757400424656,0.6917042594428282,36,kendal,initial,jaccard,jaccard,1,2,False,486289,459938,14532,5321,,242,4,1.4324860572814941,3.0883779525756836,0.10937261581420898,295.108834028244,97.40275990275991,34.884940667409694,30.964851024208567,32.80821284335789,301.210914850235
8,775,0.5434879175451807,0.7092825697321734,92,kendal,initial,jaccard,jaccard,5,2,False,672562,649442,15579,5320,,304,44,3.4263365268707275,3.6508734226226807,0.6987125873565674,547.2746448516846,97.81138281138281,44.778229369146494,29.492551210428303,35.56241667251421,556.5202136039734
9,804,0.11474655904143925,0.5698600785270567,99,kendal,initial,jaccard,jaccard,3,2,False,652446,602053,15716,7963,,659,29,3.6558592319488525,8.106306314468384,0.9154937267303467,536.6526877880096,95.17434100767434,20.027258466839818,45.32122905027933,27.77906582725473,550.8643245697021
