trial_id,max_num_of_clusters,max_dissimilarity_distance,similarity_threshold,window_size,metric,similarity_vectors,embedding_distance_metric,distance_metric,number_of_permutations,ngrams,char_tokenization,num_of_comparisons,diffObjectsComparedSuccess,sameObjectsCompared,sameObjectsComparedSuccess,selection_variance,selectedNumOfPrototypes,averageBucketSize,prototypesTime,embeddingsTime,wtaTime,similarityTime,Accuracy,Precision,Recall,F1,Time
0,176,0.10101497392759344,0.6563079451080928,32,kendal,initial,euclid_jaccard,euclid_jaccard,3,3,True,211325,181925,18464,17524,,141,60,0.21615839004516602,2.4900786876678467,0.10097789764404297,93.35344052314758,98.48765432098764,59.2765412726597,83.53701117318437,69.34615105915316,96.7174460887909
1,146,0.8338343136672132,0.6467957278851972,30,kendal,initial,euclid_jaccard,euclid_jaccard,5,3,True,196895,171744,16185,15214,,41,104,0.25252723693847656,0.8700628280639648,0.07807302474975586,113.83668661117554,98.60825110825111,62.15070851542842,81.93086592178771,70.68303336094584,116.3702929019928
2,407,0.5352345282497558,0.6555025843283011,33,kendal,initial,euclid_jaccard,euclid_jaccard,3,3,True,236628,207184,19725,18699,,93,65,2.9708406925201416,4.009016036987305,0.19068074226379395,146.36701798439026,98.74553124553125,64.52161773046551,86.06261638733706,73.7514025682583,154.85076713562012
3,345,0.18004837120114475,0.7102372657971174,62,kendal,initial,euclid_jaccard,euclid_jaccard,1,3,True,65008,47730,12890,12120,,220,35,1.6194961071014404,7.347351551055908,0.08471345901489258,53.636608362197876,98.8736355403022,73.41894838866004,70.53072625698324,71.94586251929242,64.04638504981995
4,345,0.27881920944012445,0.5848130874509339,37,kendal,initial,euclid_jaccard,euclid_jaccard,4,3,True,261354,218748,19228,18542,,180,90,2.309201240539551,6.135308504104614,0.2749979496002197,203.28335165977478,97.19886553219887,41.635353268060335,91.5619180633147,57.24160512242151,213.2732539176941
5,305,0.6283637585868993,0.5012953498690962,90,kendal,initial,euclid_jaccard,euclid_jaccard,1,3,True,76517,50860,12785,12785,,68,30,1.4751412868499756,4.294700860977173,0.09958314895629883,62.863795042037964,97.94187044187044,49.83045562614491,74.4006052141527,59.68581499031301,70.06123495101929
6,430,0.3632733816699343,0.7189368452915574,32,kendal,initial,euclid_jaccard,euclid_jaccard,3,3,True,261460,234993,19890,17531,,162,66,3.1069998741149902,7.1827404499053955,0.30499720573425293,214.66252732276917,98.97814481147815,72.2098962901811,81.44203910614524,76.54861206071381,226.33745622634888
7,181,0.8896532658770742,0.7194843314005946,36,kendal,initial,euclid_jaccard,euclid_jaccard,4,3,True,92886,75413,12707,11310,,19,64,0.4610021114349365,0.7806785106658936,0.08500170707702637,103.42487382888794,98.73206539873206,70.35332172182135,65.81703910614524,68.00962116656643,105.9270555973053
8,362,0.9037768117901038,0.6121830287424237,30,kendal,initial,euclid_jaccard,euclid_jaccard,4,3,True,179064,145082,14403,13537,,11,40,1.9670014381408691,0.5261983871459961,0.07599902153015137,176.16155695915222,97.23223223223223,40.877521439787415,78.77676908752328,53.82504970178926,179.82675051689148
9,629,0.690593929301134,0.5264457813456722,50,kendal,initial,euclid_jaccard,euclid_jaccard,5,3,True,228396,173747,19708,19619,,77,128,6.05962610244751,2.872896909713745,0.24700093269348145,165.7720491886139,95.91365174698508,32.294189488501104,90.78794227188082,47.64173270425847,176.63157033920288
